-------------------- 12万以下 --------------------
id	src_id	name	guide_price	user_score	preserve_range	preserve_mean	cat_name	grade	engine	charge_fast	charge_slow	mileag	index_url	energy_type	max_power	max_torque	oil_wear	max_horse	max_speed	office_acc_time	battery_capacity	wordmouth_num	yiche_score	pc_score	score
276	3547	上汽集团-锐行	7.79-12.99	4.38	40.250000-65.560000	51.718	轿车	紧凑型车	1.5	0	0	0	//www.autohome.com.cn/3547/#pvareaid=2042208	汽油	80.0	135.0	5.7	109.0	200.0	9.5	0	575	0	0	0.15250480496883395
112	3405	奇瑞汽车-艾瑞泽5	4.99-9.79	4.32	38.760000-63.770000	49.95	轿车	紧凑型车	1.5	0	0	0	//www.autohome.com.cn/3405/#pvareaid=2042208	汽油	85.0	141.0	5.9	116.0	185.0	0	0	59	4.67	65.1	0.15249356546904894
185	4913	长安汽车-逸动XT	7.19-10.99	4.38	51.350000-79.470000	64.844	轿车	紧凑型车	1.6	0	0	0	//www.autohome.com.cn/4913/#pvareaid=2042208	汽油	94.0	168.0	6.8	128.0	0	0	0	96	4.59	64.7	0.1520935190971941
268	529	长安铃木-天语 SX4	7.98-9.98	4.05	44.740000-70.260000	56.818	轿车	紧凑型车	1.6	0	0	0	//www.autohome.com.cn/529/#pvareaid=2042208	汽油	80.0	144.0	6.6	109.0	180.0	13.0	0	19	4.54	41.2	0.1513317377581261
192	98	东风雪铁龙-爱丽舍	8.38-12.58	4.47	37.820000-62.930000	48.82	轿车	紧凑型车	1.6	0	0	0	//www.autohome.com.cn/98/#pvareaid=2042208	汽油	86.0	150.0	6.5	117.0	188.0	0	0	13	4.72	4.35	0.15069700208795261
226	3528	长安铃木-启悦	7.89-10.99	4.28	41.530000-73.000000	56.56	轿车	紧凑型车	1.6	0	0	0	//www.autohome.com.cn/3528/#pvareaid=2042208	汽油	90.0	158.0	5.4	122.0	0	11.9	0	8	4.75	47.0	0.15042182587622666
94	2429	长安汽车-逸动	7.49-10.69	4.65	39.530000-67.390000	52.166	轿车	紧凑型车	1.6	0	0	0	//www.autohome.com.cn/2429/#pvareaid=2042208	汽油	94.0	168.0	6.1	128.0	0	0	0	443	4.51	0	0.15021824865043165
290	3695	一汽奔腾-奔腾B30	6.58-9.28	4.15	41.400000-68.240000	53.164	轿车	紧凑型车	1.6	0	0	0	//www.autohome.com.cn/3695/#pvareaid=2042208	汽油	80.0	155.0	6.4	109.0	175.0	0	0	1	4.9	0	0.14991870169222238
312	3301	东风风行-景逸S50	6.59-10.29	4.5	36.500000-61.080000	47.164	轿车	紧凑型车	1.6	0	0	0	//www.autohome.com.cn/3301/#pvareaid=2042208	汽油	90.0	151.0	6.5	122.0	165.0	0	0	108	4.32	45.0	0.1496269249599427
223	3068	东风标致-标致301	8.47-10.77	4.33	37.160000-60.140000	48.508	轿车	紧凑型车	1.6	0	0	0	//www.autohome.com.cn/3068/#pvareaid=2042208	汽油	86.0	150.0	6.5	117.0	188.0	0	0	8	4.6	38.8	0.1492622538113501
154	4630	广汽乘用车-传祺GA4	7.38-11.58	4.65	44.520000-68.960000	56.54	轿车	紧凑型车	1.5	0	0	0	//www.autohome.com.cn/4630/#pvareaid=2042208	汽油	101.0	202.0	7.0	137.0	0	0	0	363	4.61	46.7	0.14922217755764725
160	64	东风日产-阳光	7.98-11.28	4.05	44.340000-65.450000	54.15	轿车	紧凑型车	1.5	0	0	0	//www.autohome.com.cn/64/#pvareaid=2042208	汽油	82.0	139.0	6.2	112.0	165.0	13.9	0	64	4.31	40.7	0.14842795340530573
162	2962	上汽斯柯达-昕锐	7.69-10.99	4.34	37.800000-60.880000	48.852	轿车	紧凑型车	1.5	0	0	0	//www.autohome.com.cn/2962/#pvareaid=2042208	汽油	81.0	150.0	5.9	110.0	185.0	12.6	0	12	4.52	41.5	0.1483252337954473
246	632	一汽奔腾-奔腾B50	8.59-10.49	0	41.910000-71.990000	55.994	轿车	紧凑型车	1.6	0	0	0	//www.autohome.com.cn/632/#pvareaid=2042208	汽油	100.0	220.0	6.6	136.0	195.0	0	0	0	4.25	4.75	0.1439577704668045
293	2941	海马汽车-海马M3	4.99-6.99	4.34	45.860000-75.310000	59.838	轿车	紧凑型车	1.5	0	0	0	//www.autohome.com.cn/2941/#pvareaid=2042208	汽油	82.0	147.0	5.9	112.0	0	0	0	46	4.29	39.5	0.1414915353441611
136	4392	上汽通用五菱-宝骏310W	4.28-6.98	4.48	49.710000-77.610000	62.966	轿车	紧凑型车	1.5	0	0	0	//www.autohome.com.cn/4392/#pvareaid=2042208	汽油	82.0	147.0	6.5	112.0	0	0	0	20	4.65	60.0	0.14103581562498585
327	3939	东风裕隆-锐3	5.98-9.68	4.48	40.830000-65.160000	52.022	轿车	紧凑型车	1.6	0	0	0	//www.autohome.com.cn/3939/#pvareaid=2042208	汽油	91.0	153.0	6.3	124.0	0	0	0	83	4.54	40.5	0.13998431850969795
130	474	吉利汽车-远景	5.39-7.29	4.5	39.940000-71.000000	54.456	轿车	紧凑型车	1.5	0	0	0	//www.autohome.com.cn/474/#pvareaid=2042208	汽油	80.0	140.0	6.80085	109.0	0	0	0	715	4.29	0	0.13679920248687266
297	3878	华晨中华-中华H3	6.39-8.89	4.6	39.980000-62.990000	50.462	轿车	紧凑型车	1.5	0	0	0	//www.autohome.com.cn/3878/#pvareaid=2042208	汽油	82.0	145.0	6.3	112.0	0	0	0	341	4.72	38.7	0.13417263525724413
291	606	东南汽车-V3菱悦	5.79-6.59	4.07	41.240000-71.250000	55.636	轿车	紧凑型车	1.5	0	0	0	//www.autohome.com.cn/606/#pvareaid=2042208	汽油	88.0	143.0	6.80085	120.0	0	0	0	181	4.36	37.2	0.13333717294037342
